date,market,segment,orders,sessions,order_attempts,cancellations,gross_bookings,net_revenue,driver_hours,active_delivery_hours,fulfillment_rate
2023-01-01,new_york,all,3046,37412,3275,237,118717.44,21445.33,1384.0,1076.9,0.9301
2023-01-02,new_york,all,2400,29212,2532,232,97410.79,18455.24,1226.3,883.7,0.9479
2023-01-03,new_york,all,2652,32459,2832,307,104914.52,19453.4,1221.0,989.9,0.9364
2023-01-04,new_york,all,2721,33470,2918,268,92306.43,16411.37,1281.2,931.6,0.9325
2023-01-05,new_york,all,2627,31230,2837,236,97170.89,16913.24,1192.3,912.2,0.926
2023-01-06,new_york,all,2877,34685,2996,265,111529.91,19351.38,1591.2,1178.7,0.9603
2023-01-07,new_york,all,3534,40410,3691,259,134732.56,23322.16,1702.8,1315.2,0.9575
2023-01-08,new_york,all,3113,37225,3245,369,122712.59,23209.09,1510.8,1130.1,0.9593
2023-01-09,new_york,all,2410,30339,2514,206,96447.07,17412.78,1171.8,944.5,0.9586
2023-01-10,new_york,all,2407,29476,2549,191,95488.75,16853.67,1287.9,978.3,0.9443
2023-01-11,new_york,all,2637,33052,2847,222,100436.79,19158.98,1326.4,1039.7,0.9262
2023-01-12,new_york,all,2823,35156,3047,334,98652.0,18803.61,1522.9,1134.4,0.9265
2023-01-13,new_york,all,3080,36383,3254,230,115879.45,21573.86,1450.6,1047.2,0.9465
2023-01-14,new_york,all,3656,43045,3882,414,143686.32,28456.89,1700.1,1292.8,0.9418
2023-01-15,new_york,all,3191,38462,3424,336,116155.24,21089.43,1631.3,1262.1,0.932
2023-01-16,new_york,all,2501,30084,2693,279,99327.72,19376.44,1201.3,920.1,0.9287
2023-01-17,new_york,all,2688,32226,2796,319,108188.39,18635.9,1430.4,1167.5,0.9614
2023-01-18,new_york,all,2619,31224,2767,294,101471.11,19502.23,1404.9,1110.8,0.9465
2023-01-19,new_york,all,2888,35054,3095,338,94155.22,18798.41,1441.0,1181.0,0.9331
2023-01-20,new_york,all,3241,37559,3387,247,116804.6,22823.38,1763.9,1322.1,0.9569
2023-01-21,new_york,all,3310,40939,3482,363,139453.33,26132.15,1659.3,1325.6,0.9506
2023-01-22,new_york,all,3049,36533,3291,297,114178.69,21557.28,1470.4,1140.4,0.9265
2023-01-23,new_york,all,2613,32621,2820,254,90620.21,16365.89,1302.7,1017.6,0.9266
2023-01-24,new_york,all,2542,31107,2733,292,103911.5,19783.14,1183.7,969.0,0.9301
2023-01-25,new_york,all,2558,31735,2737,303,98548.76,19030.93,1357.5,1066.2,0.9346
2023-01-26,new_york,all,2790,34333,2911,294,113349.36,22663.85,1269.9,1028.5,0.9584
2023-01-27,new_york,all,3379,38766,3535,318,131893.0,24370.38,1643.3,1302.4,0.9559
2023-01-28,new_york,all,3591,42896,3797,333,141423.37,24302.07,1828.4,1339.7,0.9457
2023-01-29,new_york,all,3256,38447,3445,291,127631.27,23978.82,1490.1,1177.1,0.9451
2023-01-30,new_york,all,2558,31523,2699,225,101917.54,17689.9,1189.2,913.8,0.9478
2023-01-31,new_york,all,2856,34981,3033,256,122476.86,21720.41,1474.2,1196.9,0.9416
2023-02-01,new_york,all,2566,31472,2695,191,103587.33,18631.57,1171.2,937.8,0.9521
2023-02-02,new_york,all,2830,34408,3021,209,100345.71,19259.44,1405.9,1026.9,0.9368
2023-02-03,new_york,all,3092,35976,3236,337,121700.57,21360.18,1476.8,1083.1,0.9555
2023-02-04,new_york,all,3591,41391,3758,331,146144.19,25571.23,1693.9,1231.4,0.9556
2023-02-05,new_york,all,3264,38613,3383,380,133220.81,22827.24,1550.5,1192.8,0.9648
2023-02-06,new_york,all,2601,31528,2704,262,98002.52,19227.82,1372.6,999.4,0.9619
2023-02-07,new_york,all,2378,29853,2550,171,96885.71,18486.29,1276.2,1011.2,0.9325
2023-02-08,new_york,all,2520,30958,2652,196,101520.48,17380.14,1146.0,888.4,0.9502
2023-02-09,new_york,all,2913,35070,3034,234,126575.96,21625.35,1615.4,1298.1,0.9601
2023-02-10,new_york,all,3218,37656,3437,382,119247.0,22270.6,1638.1,1225.3,0.9363
2023-02-11,new_york,all,3534,41890,3738,286,132607.18,23667.2,1807.4,1395.2,0.9454
2023-02-12,new_york,all,3210,37548,3310,307,121693.41,22866.41,1668.3,1220.8,0.9698
2023-02-13,new_york,all,2511,30495,2626,293,94303.93,17261.21,1284.6,1038.5,0.9562
2023-02-14,new_york,all,2722,32601,2828,324,100133.42,19796.31,1469.4,1083.7,0.9625
